YEAR,IITTRLB
1/1/13,1
1/1/14,1
1/1/15,1
1/1/16,2
1/1/17,2
1/1/18,6
1/1/19,4
1/1/20,4
1/1/21,4
1/1/22,4
1/1/23,3
1/1/24,1.5
1/1/25,1.125
1/1/26,1.125
1/1/27,1.125
1/1/28,1.125
1/1/29,0.375
1/1/30,1.125
1/1/31,1.125
1/1/32,4
1/1/33,4
1/1/34,4
1/1/35,4
1/1/36,4
1/1/37,4
1/1/38,4
1/1/39,4
1/1/40,4.4
1/1/41,10
1/1/42,19
1/1/43,19
1/1/44,23
1/1/45,23
1/1/46,19
1/1/47,19
1/1/48,16.6
1/1/49,16.6
1/1/50,17.4
1/1/51,20.4
1/1/52,22.2
1/1/53,22.2
1/1/54,20
1/1/55,20
1/1/56,20
1/1/57,20
1/1/58,20
1/1/59,20
1/1/60,20
1/1/61,20
1/1/62,20
1/1/63,20
1/1/64,16
1/1/65,14
1/1/66,14
1/1/67,14
1/1/68,14
1/1/69,14
1/1/70,14
1/1/71,14
1/1/72,14
1/1/73,14
1/1/74,14
1/1/75,14
1/1/76,14
1/1/77,14
1/1/78,14
1/1/79,14
1/1/80,14
1/1/81,14
1/1/82,12
1/1/83,11
1/1/84,11
1/1/85,11
1/1/86,11
1/1/87,11
1/1/88,15
1/1/89,15
1/1/90,15
1/1/91,15
1/1/92,15
1/1/93,15
1/1/94,15
1/1/95,15
1/1/96,15
1/1/97,15
1/1/98,15
1/1/99,15
1/1/00,15
1/1/01,10
1/1/02,10
1/1/03,10
1/1/04,10
1/1/05,10
1/1/06,10
1/1/07,10
1/1/08,10
1/1/09,10
1/1/10,10
1/1/11,10
1/1/12,10
1/1/13,10
1/1/14,10
1/1/15,10
1/1/16,10
1/1/17,10
1/1/18,10